操作時間,指令,類別,股票代碼,股票名稱,股數,股價,金額,損益
2025-09-08 14:10:20,!monkey,庫存,1802,台玻,1501,27.3,40977.3,
2025-09-08 14:10:20,!monkey,操作,1802,台玻,1501,27.3,40977.3,
2025-09-09 11:59:25,!summary (adjust),庫存,1802,台玻,0,0,1801.199999999997,
2025-09-09 12:00:56,!buy,庫存,2330,台積電,100,1200.0,120000.0,
2025-09-09 12:00:56,!buy,操作,2330,台積電,100,1200.0,120000.0,
2025-09-09 12:01:31,!summary (adjust),庫存,2330,台積電,0,0,-10000.0,
2025-09-09 12:01:57,!sell,庫存,2330,台積電,-20,1200.0,-24000.0,
2025-09-09 12:01:57,!sell,操作,2330,台積電,-20,1200.0,24000.0,
2025-09-09 12:01:57,!sell,損益,2330,台積電,20,1200.0,24000.0,2000.0
2025-09-09 12:02:12,!profitclear,損益,SYSTEM,損益歸零,0,0,0,-2000.0
2025-09-09 12:03:04,!sell,庫存,2330,台積電,-80,1200.0,-96000.0,
2025-09-09 12:03:04,!sell,操作,2330,台積電,-80,1200.0,96000.0,
2025-09-09 12:03:04,!sell,損益,2330,台積電,80,1200.0,96000.0,10000.0
2025-09-09 14:38:23,!profitclear,損益,SYSTEM,損益歸零,0,0,0,-10000.0
2025-09-09 14:39:20,!buy,庫存,2330,台積電,100,1200.0,120000.0,
2025-09-09 14:39:20,!buy,操作,2330,台積電,100,1200.0,120000.0,
2025-09-09 14:39:32,!summary (adjust),庫存,2330,台積電,0,0,0.0,
2025-09-09 14:39:42,!sell,庫存,2330,台積電,-20,1200.0,-22000.0,
2025-09-09 14:39:42,!sell,操作,2330,台積電,-20,1200.0,22000.0,
2025-09-09 14:39:42,!sell,損益,2330,台積電,20,1200.0,22000.0,2000.0
2025-09-09 14:39:52,!sell,庫存,2330,台積電,-80,1200.0,-88000.0,
2025-09-09 14:39:52,!sell,操作,2330,台積電,-80,1200.0,88000.0,
2025-09-09 14:39:52,!sell,損益,2330,台積電,80,1200.0,88000.0,8000.0
2025-09-09 14:40:28,!profitclear,損益,SYSTEM,損益歸零,0,0,0,-10000.0
2025-09-09 14:40:40,!buy,庫存,2330,台積電,100,1200.0,120000.0,
2025-09-09 14:40:40,!buy,操作,2330,台積電,100,1200.0,120000.0,
2025-09-09 14:40:55,!summary (adjust),庫存,2330,台積電,0,0,-20000.0,
2025-09-09 14:41:10,!sell,庫存,2330,台積電,-20,1150.0,-20000.0,
2025-09-09 14:41:10,!sell,操作,2330,台積電,-20,1150.0,20000.0,
2025-09-09 14:41:10,!sell,損益,2330,台積電,20,1150.0,20000.0,3000.0
2025-09-09 14:41:31,!sell,庫存,2330,台積電,-80,900.0,-80000.0,
2025-09-09 14:41:31,!sell,操作,2330,台積電,-80,900.0,80000.0,
2025-09-09 14:41:31,!sell,損益,2330,台積電,80,900.0,80000.0,-8000.0
2025-09-09 14:49:14,!monkey,庫存,6534,正瀚-創,460,119.5,54970.0,
2025-09-09 14:49:14,!monkey,操作,6534,正瀚-創,460,119.5,54970.0,
2025-09-09 14:50:52,!sell,庫存,6534,正瀚-創,-460,119.5,-54970.0,
2025-09-09 14:50:52,!sell,操作,6534,正瀚-創,-460,119.5,54970.0,
2025-09-09 14:50:52,!sell,損益,6534,正瀚-創,460,119.5,54970.0,0.0
2025-09-09 16:40:19,!monkey,庫存,1440,南紡,1811,13.8,24991.8,
2025-09-09 16:40:19,!monkey,操作,1440,南紡,1811,13.8,24991.8,
2025-09-09 16:40:19,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 00:14:50,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 01:33:34,!buy,庫存,9930,中聯資源,1,71.9,71.9,
2025-09-10 01:33:34,!buy,操作,9930,中聯資源,1,71.9,71.9,
2025-09-10 01:44:37,!sell,庫存,9930,中聯資源,-1,71.9,-71.9,
2025-09-10 01:44:37,!sell,操作,9930,中聯資源,-1,71.9,71.9,
2025-09-10 01:44:37,!sell,損益,9930,中聯資源,1,71.9,71.9,0.0
2025-09-10 01:44:47,!sell,庫存,1440,南紡,-1811,13.8,-24991.8,
2025-09-10 01:44:47,!sell,操作,1440,南紡,-1811,13.8,24991.8,
2025-09-10 01:44:47,!sell,損益,1440,南紡,1811,13.8,24991.8,0.0
2025-09-10 12:29:57,!monkey,庫存,1215,卜蜂,290,137.5,39875.0,
2025-09-10 12:29:57,!monkey,操作,1215,卜蜂,290,137.5,39875.0,
2025-09-10 12:29:57,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:30:03,!monkey,庫存,5484,慧友,858,44.25,37966.5,
2025-09-10 12:30:03,!monkey,操作,5484,慧友,858,44.25,37966.5,
2025-09-10 12:30:03,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:30:08,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:30:13,!monkey,庫存,4770,上品,299,317.5,94932.5,
2025-09-10 12:30:13,!monkey,操作,4770,上品,299,317.5,94932.5,
2025-09-10 12:30:13,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:30:22,!monkey,庫存,2722,夏都,2030,29.05,58971.5,
2025-09-10 12:30:22,!monkey,操作,2722,夏都,2030,29.05,58971.5,
2025-09-10 12:30:22,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:30:27,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:30:46,!monkey,庫存,2901,欣欣,3783,25.9,97979.7,
2025-09-10 12:30:46,!monkey,操作,2901,欣欣,3783,25.9,97979.7,
2025-09-10 12:30:47,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:30:55,!monkey,庫存,1517,利奇,558,10.75,5998.5,
2025-09-10 12:30:55,!monkey,操作,1517,利奇,558,10.75,5998.5,
2025-09-10 12:30:55,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:31:29,!monkey,庫存,4736,泰博,353,121.5,42889.5,
2025-09-10 12:31:29,!monkey,操作,4736,泰博,353,121.5,42889.5,
2025-09-10 12:31:30,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:31:35,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:31:47,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:31:55,!monkey,庫存,1517,利奇,-261,123.0,-32103.0,
2025-09-10 12:31:55,!monkey,操作,1517,利奇,-261,123.0,32103.0,
2025-09-10 12:31:55,!monkey,損益,1517,利奇,261,123.0,32103.0,29297.25
2025-09-10 12:48:37,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:48:44,!monkey,庫存,4764,雙鍵,2133,40.3,85959.9,
2025-09-10 12:48:44,!monkey,操作,4764,雙鍵,2133,40.3,85959.9,
2025-09-10 12:48:44,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:48:50,!monkey,庫存,3706,神達,832,91.3,75961.6,
2025-09-10 12:48:50,!monkey,操作,3706,神達,832,91.3,75961.6,
2025-09-10 12:48:50,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:48:55,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:49:08,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:49:12,!monkey,庫存,5484,慧友,-329,15.0,-4935.0,
2025-09-10 12:49:12,!monkey,操作,5484,慧友,-329,15.0,4935.0,
2025-09-10 12:49:12,!monkey,損益,5484,慧友,329,15.0,4935.0,-9623.25
